SPATIAL,INC_TOTAL,INC_A,INC_B,INC_C,INC_D,INC_E,INC_F,INC_G,INC_H,INC_I,INC_J
06237,2043,22.473000000000003,34.731,71.50500000000001,138.924,167.52599999999998,410.64300000000003,304.407,473.97599999999994,206.343,212.472
06238,4707,28.242,42.36300000000001,197.69400000000002,282.42,404.80199999999996,814.311,899.037,927.2789999999999,701.343,409.50899999999996
06239,4440,284.16,199.79999999999998,488.4,483.96,666.0,772.56,661.56,688.2,128.76,62.16
06241,2691,131.859,37.674,250.26300000000003,193.752,374.04900000000004,481.68899999999996,352.521,583.947,252.954,29.601000000000003
06242,511,20.950999999999997,3.0660000000000003,26.061,54.166,35.77,95.046,70.00699999999999,106.79899999999999,82.782,15.841
06243,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06247,1067,7.468999999999999,28.809000000000005,71.489,93.89600000000002,98.164,246.477,185.658,203.797,103.499,27.742
06248,2030,6.09,18.270000000000003,36.540000000000006,101.5,79.17,306.53,345.1,531.86,213.15,391.79
06249,2682,50.958,101.916,75.09599999999999,104.598,252.108,514.944,437.166,581.994,437.166,128.736
06250,1840,25.759999999999998,36.800000000000004,117.76,80.96000000000001,261.28,303.6,237.36,327.52000000000004,253.92000000000002,195.04
06254,721,18.025000000000002,28.84,38.934000000000005,23.793000000000003,54.796,108.871,100.94000000000001,173.04,87.962,85.078
06255,1820,36.4,160.16000000000003,231.14000000000001,158.33999999999997,167.44,271.18,338.52000000000004,282.1,140.14,34.58
06256,979,0.0,27.411999999999995,88.11,47.971000000000004,290.763,184.052,220.275,121.396,0.0,0.0
06259,1720,41.28,36.120000000000005,92.88000000000001,149.64,218.44,254.56000000000003,202.96,290.67999999999995,184.04,249.39999999999998
06260,3851,238.762,192.55,439.014,446.71599999999995,535.2890000000001,824.114,473.67300000000006,439.014,161.74200000000002,96.275
06262,337,9.099,9.099,54.931000000000004,43.136,22.916,107.84,45.158,12.132000000000001,9.099,23.927
06263,117,25.038,0.0,0.0,0.0,53.001,0.0,32.994,0.0,5.967,0.0
06264,35,0.0,0.0,0.0,15.015,0.0,0.0,15.015,3.01,1.995,0.0
06266,178,0.0,14.062,19.046,0.0,17.088,98.078,30.081999999999997,0.0,0.0,0.0
06268,3544,372.12,269.344,389.84,244.53600000000003,464.264,404.016,379.20799999999997,450.088,258.712,315.41600000000005
06269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06277,1529,36.696,18.348,105.501,139.139,169.719,238.524,331.793,290.51,107.03000000000002,91.74
06278,1718,75.59200000000001,79.02799999999999,130.56799999999998,115.10600000000001,182.108,266.29,262.854,352.19,159.77400000000003,96.20799999999998
06279,2430,140.94,94.77,89.91000000000001,225.99000000000004,328.05,381.51,371.79,478.71,138.51,182.25
06280,1283,0.0,0.0,66.71600000000001,128.3,201.431,313.052,270.713,191.167,79.546,30.792
06281,2724,59.928000000000004,62.652,174.336,141.64800000000002,217.92000000000002,427.668,465.80400000000003,691.896,343.224,138.92399999999998
06282,449,61.06400000000001,0.0,0.0,22.898999999999997,139.19,79.92200000000001,12.123000000000001,108.209,13.020999999999999,13.020999999999999
06320,10612,1613.024,774.6759999999999,1623.636,1241.6039999999998,1241.6039999999998,1814.652,891.408,923.2439999999999,360.80800000000005,137.95600000000002
06330,1197,17.955,16.758,69.426,112.518,184.338,275.31,172.36800000000002,197.505,90.972,61.047
06331,1829,104.253,60.357,87.792,87.792,159.123,356.65500000000003,327.39099999999996,415.18299999999994,190.216,40.23800000000001
06332,126,0.0,0.0,0.0,0.0,0.0,58.967999999999996,23.94,7.938,0.0,35.028000000000006
06333,2424,46.056,53.328,60.6,96.96000000000001,172.10399999999998,293.304,293.304,598.728,390.264,416.92799999999994
06334,986,25.636000000000003,29.58,32.538000000000004,62.118,66.062,212.97600000000003,185.368,238.612,109.446,22.678
06335,2620,41.92,0.0,206.98,141.48000000000002,254.13999999999996,343.22,440.16,579.02,424.44,193.88000000000002
06336,27,0.0,0.0,0.0,0.0,4.995,5.994,0.0,4.995,6.993,3.9960000000000004
06339,3123,87.44399999999999,34.353,96.813,78.075,302.931,727.659,527.7869999999999,668.322,418.482,181.134
06340,12429,845.172,459.87300000000005,981.891,1242.9,1491.48,2647.377,1864.35,1802.205,559.305,534.447
06350,49,0.0,0.0,12.004999999999999,9.016,0.0,14.994,4.018,4.997999999999999,4.018,0.0
06351,6008,156.20800000000003,90.11999999999999,642.856,456.608,805.072,1315.7519999999997,931.24,907.208,372.496,330.44
06353,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
06354,2335,119.085,70.05,184.465,275.53000000000003,308.22,474.00500000000005,371.265,373.6,79.39,81.72500000000001
06355,5470,213.33,87.52,404.78000000000003,306.32,497.77,798.62,760.33,1033.83,716.57,650.9300000000001
06357,4906,49.06,142.274,387.574,299.266,534.754,1020.4480000000001,829.1139999999999,824.2080000000001,520.036,299.266
06359,2031,42.651,71.08500000000001,115.76700000000001,87.333,387.921,331.053,231.53400000000002,398.076,207.16199999999998,158.418
06360,14975,778.7,763.7249999999999,1752.0749999999998,1542.4250000000002,2231.275,3114.8,1662.225,2111.475,584.025,434.275
06365,1808,95.824,57.856,108.47999999999999,128.368,215.15200000000002,348.944,260.35200000000003,345.32800000000003,139.216,110.288
