SPATIAL,RAC_TOTAL,RAC_WHITE,RAC_BLACK,RAC_INDIAN,RAC_ASIAN,RAC_PACIFIC,RAC_OTHER,RAC_HISPANIC
01970,42650,31404,2207,124,936,0,1044,6935
01982,8136,7277,81,0,540,25,94,119
01983,6434,6080,4,0,172,6,103,69
01984,5135,4665,77,0,141,0,63,189
01985,4484,4395,0,0,38,0,32,19
02019,16833,15599,193,0,525,0,203,313
02021,22562,18235,1330,0,1547,0,546,904
02025,8316,8134,0,0,66,0,68,48
02026,25272,20241,1899,36,708,0,624,1764
02030,5864,4915,211,0,481,0,95,162
02032,4070,3278,212,0,410,0,118,52
02035,17348,15550,643,0,344,0,321,490
02038,32873,29769,222,17,1505,5,533,822
02043,22901,21873,48,0,446,0,281,253
02045,10437,9855,22,15,87,0,159,299
02047,47,47,0,0,0,0,0,0
02048,23615,20673,482,0,1066,0,544,850
02050,25961,24788,39,39,175,0,665,255
02052,12510,11324,89,0,502,0,176,419
02053,13135,11699,248,0,490,0,238,460
02054,8110,7653,14,0,39,0,0,404
02056,11442,9787,596,19,125,0,116,799
02061,10845,10371,45,0,57,0,175,197
02062,29018,23433,1237,0,2077,0,623,1648
02066,17978,17196,88,43,93,19,208,331
02067,18066,13746,460,0,2937,0,282,641
02071,1686,1040,340,7,102,0,10,187
02072,28260,21161,3918,137,928,0,954,1162
02081,19481,17464,117,9,632,0,458,801
02090,15364,13560,42,0,1076,0,256,430
02093,11483,11077,96,0,63,0,47,200
02108,4049,3378,203,26,172,0,96,174
02109,4015,3424,135,0,249,0,100,107
02110,2124,1803,62,0,206,0,7,46
02111,7564,2880,212,0,3926,0,205,341
02113,7495,6722,27,0,206,0,131,409
02114,13001,9564,433,0,1475,0,318,1211
02115,28976,17598,2338,44,4273,13,877,3833
02116,23004,16303,1093,42,3291,0,557,1718
02118,27664,12764,4352,4,4120,0,768,5656
02119,26833,2809,14520,74,695,0,1202,7533
02120,15322,5889,3515,0,2479,0,296,3143
02121,28029,726,18153,64,237,0,796,8053
02122,24624,8402,6996,5,4520,0,1767,2934
02124,52986,8631,30809,451,3263,0,1452,8380
02125,36353,11049,9847,58,4636,0,3388,7375
02126,29531,1446,22801,33,260,0,528,4463
02127,36311,27902,2019,45,1802,0,671,3872
02128,46208,14795,1200,53,1555,16,1926,26663
02129,18314,12932,1543,0,1401,0,334,2104
02130,39316,22658,3834,5,2411,0,1496,8912
02131,32459,15900,7024,153,694,0,778,7910
02132,28292,22318,1509,0,1807,0,613,2045
02134,17598,9956,914,45,3732,0,722,2229
02135,40513,26870,1816,130,6337,68,1178,4114
02136,31762,8426,13317,18,632,0,1034,8335
02138,37067,25414,1700,45,5575,6,1536,2791
02139,36338,22417,3891,86,5180,11,1689,3064
02140,19604,10938,4081,23,2687,0,454,1421
02141,13059,7311,1123,29,2332,7,426,1831
02142,2807,1597,73,3,767,0,150,217
02143,26800,18986,830,94,3234,0,1176,2480
02144,24475,19822,1184,5,1808,9,722,925
02145,26006,15255,2889,9,2911,0,1059,3883
02148,60812,29497,9015,84,13925,22,2398,5871
02149,44496,21408,8340,0,3097,8,1862,9781
02150,38237,8876,1924,64,1080,0,1191,25102
02151,53172,31074,2493,39,2938,0,1548,15080
02152,18031,15300,88,0,188,0,278,2177
02155,59348,43875,5369,51,4830,9,1882,3332
02163,2575,1462,178,7,546,0,119,263
02169,55876,35829,3541,59,12770,15,1334,2328
02170,19574,11570,378,94,6899,0,410,223
02171,17899,9741,840,0,6474,0,447,397
02176,27787,24291,957,0,1239,0,457,843
02180,21831,19841,344,0,846,0,200,600
02184,37066,30218,1756,18,3351,0,883,840
02186,27351,19956,3681,9,1991,0,537,1177
02188,15347,12162,1311,43,1092,0,416,323
02189,15076,12662,460,0,606,0,465,883
02190,16886,14759,548,0,888,0,297,394
02191,8292,7649,4,0,472,0,91,76
02199,1260,1070,9,0,145,0,0,36
02203,0,0,0,0,0,0,0,0
02210,2461,2160,86,0,150,0,24,41
02215,24698,15215,945,26,5089,0,787,2636
