SPATIAL,EDU_TOTAL,EDU_ELEMENTAR,EDU_HIGH,EDU_COLLEGE,EDU_BACHELOR
03063,12982,416,3716,2613,6237
03064,11179,598,3504,2847,4230
03070,4061,102,1061,854,2044
03071,3713,140,1288,812,1473
03076,10004,384,3786,2056,3778
03077,7878,269,3332,1868,2409
03079,23602,941,8561,4818,9282
03082,1362,35,479,212,636
03084,1236,63,381,251,541
03086,2942,42,1063,660,1177
03087,10579,320,2277,1702,6280
03101,2537,149,775,634,979
03102,26459,1800,10221,6642,7796
03103,28474,2924,12627,5233,7690
03104,26106,1143,8418,5725,10820
03106,11310,224,3074,3229,4783
03109,8333,138,2864,1766,3565
03110,16051,257,3310,2008,10476
03215,159,3,16,41,99
03216,1965,37,734,349,845
03217,1785,35,628,448,674
03218,748,9,324,223,192
03220,5888,266,2672,1419,1531
03221,1729,41,594,346,748
03222,4436,90,2073,902,1371
03223,2960,58,898,613,1391
03224,1813,22,381,366,1044
03225,2893,102,995,786,1010
03226,912,13,183,237,479
03227,832,17,144,183,488
03229,4408,63,792,703,2850
03230,1081,18,423,287,353
03231,202,0,77,56,69
03233,59,0,16,0,43
03234,3692,96,1615,677,1304
03235,6714,217,3169,1518,1810
03237,1814,60,579,459,716
03238,81,0,34,32,15
03240,1057,34,543,138,342
03241,757,28,248,138,343
03242,3731,43,750,1274,1664
03243,829,26,374,190,239
03244,6284,151,2561,1296,2276
03245,1748,41,576,379,752
03246,13123,455,5333,3142,4193
03249,5869,129,1952,994,2794
03251,1058,93,496,270,199
03253,4877,207,1283,1091,2296
03254,3414,24,927,638,1825
03255,1588,10,336,300,942
03256,1886,45,683,329,829
03257,4228,78,501,1462,2187
03258,2061,44,697,368,952
03259,281,0,107,33,141
03260,568,16,87,93,372
03261,3403,149,1309,758,1187
03262,782,31,272,187,292
03263,3122,119,1420,719,864
03264,6324,193,1720,2820,1591
03266,1927,87,892,347,601
03268,1006,27,376,229,374
03269,2486,101,667,557,1161
03273,304,0,37,24,243
03275,9012,266,3861,2009,2876
03276,6537,219,2849,1440,2029
03278,2284,85,735,526,938
03279,606,35,308,125,138
03280,906,25,294,224,363
03281,6693,220,2102,1528,2843
03282,666,22,271,166,207
03284,756,18,310,141,287
03285,1721,50,587,302,782
03287,1186,18,326,241,601
03290,3757,106,1085,849,1717
03291,25,0,19,6,0
03293,71,0,12,10,49
03301,26117,903,7909,5799,11506
03303,12852,484,5001,2917,4450
03304,5921,93,1330,1010,3488
03307,4435,144,1882,886,1523
03431,21720,513,6143,6793,8271
03440,2114,55,843,590,626
03441,306,25,116,96,69
03442,1015,26,498,187,304
